bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | 
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 235th command: 20_7 1736013213167
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 236th command: 21_7 1736013213187
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 237th command: 22_7 1736013213198
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 238th command: 23_7 1736013213228
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 239th command: 24_7 1736013213259
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 240th command: 25_7 1736013213278
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 241th command: 26_7 1736013213288
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 242th command: 27_7 1736013213308
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 243th command: 28_7 1736013213338
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 244th command: 29_7 1736013213349
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 245th command: 3_7 1736013213357
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 246th command: 30_7 1736013213373
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 247th command: 31_7 1736013213381
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 248th command: 32_7 1736013213392
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 249th command: 4_7 1736013213412
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 250th command: 5_7 1736013213422
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 251th command: 6_7 1736013213463
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 252th command: 7_7 1736013213483
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 253th command: 8_7 1736013213504
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 254th command: 9_7 1736013213514
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 255th command: 1_7 1736013213547
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 256th command: 10_7 1736013213578
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 257th command: 11_8 1736013213599
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 258th command: 12_8 1736013213609
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 259th command: 13_8 1736013213632
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 260th command: 14_8 1736013213663
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 261th command: 15_8 1736013213673
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 262th command: 16_8 1736013213684
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 263th command: 17_8 1736013213705
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 264th command: 18_8 1736013213716
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 265th command: 19_8 1736013213726
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 266th command: 2_8 1736013213747
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 267th command: 20_8 1736013213758
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 268th command: 21_8 1736013213800
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 269th command: 22_8 1736013213821
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 270th command: 23_8 1736013213843
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 271th command: 24_8 1736013213853
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 272th command: 25_8 1736013213886
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 273th command: 26_8 1736013213917
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 274th command: 27_8 1736013213937
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 275th command: 28_8 1736013213947
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 276th command: 29_8 1736013213968
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 277th command: 3_8 1736013213999
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 278th command: 30_8 1736013214009
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 279th command: 31_8 1736013214020
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 280th command: 32_8 1736013214041
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 281th command: 4_8 1736013214051
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 282th command: 5_8 1736013214063
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 283th command: 6_8 1736013214082
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 284th command: 7_8 1736013214093
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 285th command: 8_8 1736013214134
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 286th command: 9_8 1736013214155
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 287th command: 1_8 1736013214175
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 288th command: 10_8 1736013214186
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 289th command: 11_9 1736013214216
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 290th command: 12_9 1736013214247
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 291th command: 13_9 1736013214268
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 292th command: 14_9 1736013214278
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 293th command: 15_9 1736013214298
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 294th command: 16_9 1736013214328
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 295th command: 17_9 1736013214338
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 296th command: 18_9 1736013214348
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 297th command: 19_9 1736013214369
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 298th command: 2_9 1736013214379
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 299th command: 20_9 1736013214389
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 300th command: 21_9 1736013214410
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 301th command: 22_9 1736013214420
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 302th command: 23_9 1736013214461
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 303th command: 24_9 1736013214482
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 304th command: 25_9 1736013214503
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 305th command: 26_9 1736013214513
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 306th command: 27_9 1736013214543
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 307th command: 28_9 1736013214573
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 308th command: 29_9 1736013214594
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 309th command: 3_9 1736013214604
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 310th command: 30_9 1736013214624
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 311th command: 31_9 1736013214654
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 312th command: 32_9 1736013214665
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 313th command: 4_9 1736013214675
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 314th command: 5_9 1736013214697
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 315th command: 6_9 1736013214707
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 316th command: 7_9 1736013214719
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 317th command: 8_9 1736013214738
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 318th command: 9_9 1736013214748
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 319th command: 1_9 1736013214788
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 320th command: 10_9 1736013214809
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 321th command: 11_10 1736013214829
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 322th command: 12_10 1736013214840
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 323th command: 13_10 1736013214870
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 324th command: 14_10 1736013214901
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 325th command: 15_10 1736013214921
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 326th command: 16_10 1736013214932
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 327th command: 17_10 1736013214952
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 328th command: 18_10 1736013214982
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 329th command: 19_10 1736013214992
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 330th command: 2_10 1736013215002
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 331th command: 20_10 1736013215023
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 332th command: 21_10 1736013215033
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 333th command: 22_10 1736013215043
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 334th command: 23_10 1736013215063
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 335th command: 24_10 1736013215074
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 336th command: 25_10 1736013215115
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 337th command: 26_10 1736013215136
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 338th command: 27_10 1736013215157
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 339th command: 28_10 1736013215167
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 340th command: 29_10 1736013215197
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 341th command: 3_10 1736013215227
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 342th command: 30_10 1736013215248
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 343th command: 31_10 1736013215258
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 344th command: 32_10 1736013215279
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 345th command: 4_10 1736013215310
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 346th command: 5_10 1736013215320
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 347th command: 6_10 1736013215331
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 348th command: 7_10 1736013215351
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 349th command: 8_10 1736013215363
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 350th command: 9_10 1736013215372
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 351th command: 1_10 1736013215392
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 352th command: 10_10 1736013215403
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 353th command: 11_11 1736013215443
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 354th command: 12_11 1736013215463
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 355th command: 13_11 1736013215484
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 356th command: 14_11 1736013215495
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 357th command: 15_11 1736013215525
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 358th command: 16_11 1736013215555
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 359th command: 17_11 1736013215576
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 360th command: 18_11 1736013215586
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 361th command: 19_11 1736013215605
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 362th command: 2_11 1736013215635
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 363th command: 20_11 1736013215646
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 364th command: 21_11 1736013215656
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 365th command: 22_11 1736013215676
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 366th command: 23_11 1736013215686
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 367th command: 24_11 1736013215696
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 368th command: 25_11 1736013215716
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 369th command: 26_11 1736013215725
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 370th command: 27_11 1736013215765
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 371th command: 28_11 1736013215787
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 372th command: 29_11 1736013215806
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 373th command: 3_11 1736013215815
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 374th command: 30_11 1736013215846
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 375th command: 31_11 1736013215877
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 376th command: 32_11 1736013215897
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 377th command: 4_11 1736013215907
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 378th command: 5_11 1736013215929
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 379th command: 6_11 1736013215960
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 380th command: 7_11 1736013215970
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 381th command: 8_11 1736013215980
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 382th command: 9_11 1736013216001
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 383th command: 1_11 1736013216012
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 384th command: 10_11 1736013216022
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 385th command: 11_12 1736013216042
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 386th command: 12_12 1736013216052
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 387th command: 13_12 1736013216093
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 388th command: 14_12 1736013216113
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 389th command: 15_12 1736013216134
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 390th command: 16_12 1736013216144
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 391th command: 17_12 1736013216174
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 392th command: 18_12 1736013216204
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 393th command: 19_12 1736013216225
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 394th command: 2_12 1736013216235
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 395th command: 20_12 1736013216255
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 396th command: 21_12 1736013216285
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 397th command: 22_12 1736013216295
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 398th command: 23_12 1736013216306
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 399th command: 24_12 1736013216326
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 400th command: 25_12 1736013216335
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 401th command: 26_12 1736013216346
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 402th command: 27_12 1736013216366
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 403th command: 28_12 1736013216376
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 404th command: 29_12 1736013216417
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 405th command: 3_12 1736013216438
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 406th command: 30_12 1736013216457
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 407th command: 31_12 1736013216467
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 408th command: 32_12 1736013216497
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 409th command: 4_12 1736013216528
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 410th command: 5_12 1736013216548
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 411th command: 6_12 1736013216558
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 412th command: 7_12 1736013216578
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 413th command: 8_12 1736013216607
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 414th command: 9_12 1736013216617
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 415th command: 1_12 1736013216627
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 416th command: 10_12 1736013216649
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 417th command: 11_13 1736013216659
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 418th command: 12_13 1736013216669
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 419th command: 13_13 1736013216689
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 420th command: 14_13 1736013216699
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 421th command: 15_13 1736013216739
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 422th command: 16_13 1736013216759
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 423th command: 17_13 1736013216779
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 424th command: 18_13 1736013216789
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 425th command: 19_13 1736013216819
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 426th command: 2_13 1736013216849
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 427th command: 20_13 1736013216869
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 428th command: 21_13 1736013216880
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 429th command: 22_13 1736013216899
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 430th command: 23_13 1736013216928
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 431th command: 24_13 1736013216938
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 432th command: 25_13 1736013216948
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 433th command: 26_13 1736013216967
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 434th command: 27_13 1736013216978
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 435th command: 28_13 1736013216987
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 436th command: 29_13 1736013217007
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 437th command: 3_13 1736013217017
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 438th command: 30_13 1736013217057
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 439th command: 31_13 1736013217077
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 440th command: 32_13 1736013217096
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 441th command: 4_13 1736013217107
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 442th command: 5_13 1736013217136
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 443th command: 6_13 1736013217166
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 444th command: 7_13 1736013217185
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 445th command: 8_13 1736013217196
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 446th command: 9_13 1736013217215
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 447th command: 1_13 1736013217245
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 448th command: 10_13 1736013217255
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 449th command: 11_14 1736013217265
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 450th command: 12_14 1736013217284
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 451th command: 13_14 1736013217294
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 452th command: 14_14 1736013217304
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 453th command: 15_14 1736013217324
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 454th command: 16_14 1736013217333
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 455th command: 17_14 1736013217372
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 456th command: 18_14 1736013217392
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 457th command: 19_14 1736013217412
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 458th command: 2_14 1736013217423
bft_bft_server3027.1.rfti8ex9i0ew@node8.bft.msc6801project.emulab.net    | Executing 459th command: 20_14 1736013217453
