bft_bft_server3003.1.cymz3o788z1u@azureuser    | 
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1921 1735931297184
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1922 1735931297184
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1923 1735931297184
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1924 1735931297184
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1925 1735931297184
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1926 1735931297184
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1927 1735931297185
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1928 1735931297185
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1929 1735931297185
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1930 1735931297185
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1931 1735931297185
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1932 1735931297185
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1933 1735931297185
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1934 1735931297185
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1935 1735931297185
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1936 1735931297186
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1937 1735931297186
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1938 1735931297186
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1939 1735931297186
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1940 1735931297186
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1941 1735931297186
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1942 1735931297186
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1943 1735931297186
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1944 1735931297186
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1945 1735931297186
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1946 1735931297187
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1947 1735931297187
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1948 1735931297187
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1949 1735931297187
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1950 1735931297187
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1951 1735931297187
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1952 1735931297187
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1953 1735931297187
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1954 1735931297187
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1955 1735931297188
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1956 1735931297188
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1957 1735931297188
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1958 1735931297188
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1959 1735931297188
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1960 1735931297188
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1961 1735931297188
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1962 1735931297188
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1963 1735931297188
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1964 1735931297188
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1965 1735931297189
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1966 1735931297189
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1967 1735931297189
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1968 1735931297189
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1969 1735931297189
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1970 1735931297189
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1971 1735931297189
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1972 1735931297189
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1973 1735931297189
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1974 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1975 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1976 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1977 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1978 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1979 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1980 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1981 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1982 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1983 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1984 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1985 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1986 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1987 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1988 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1989 1735931297190
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1990 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1991 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1992 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1993 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1994 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1995 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1996 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1997 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1998 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_1999 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2000 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2001 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2002 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2003 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2004 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2005 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2006 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2007 1735931297191
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2008 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2009 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2010 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2011 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2012 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2013 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2014 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2015 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2016 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2017 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2018 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2019 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2020 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2021 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2022 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2023 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2024 1735931297192
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2025 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2026 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2027 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2028 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2029 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2030 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2031 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2032 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2033 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2034 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2035 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2036 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2037 1735931297193
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2038 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2039 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2040 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2041 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2042 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2043 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2044 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2045 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2046 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2047 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2048 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2049 1735931297194
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2050 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2051 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2052 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2053 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2054 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2055 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2056 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2057 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2058 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2059 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2060 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2061 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2062 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2063 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2064 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2065 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2066 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2067 1735931297195
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2068 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2069 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2070 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2071 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2072 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2073 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2074 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2075 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2076 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2077 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2078 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2079 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2080 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2081 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2082 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2083 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2084 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2085 1735931297196
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2086 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2087 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2088 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2089 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2090 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2091 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2092 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2093 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2094 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2095 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2096 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2097 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2098 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2099 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2100 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2101 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2102 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2103 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2104 1735931297197
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2105 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2106 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2107 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2108 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2109 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2110 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2111 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2112 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2113 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2114 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2115 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2116 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2117 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2118 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2119 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2120 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2121 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2122 1735931297198
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2123 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2124 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2125 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2126 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2127 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2128 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2129 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2130 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2131 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2132 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2133 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2134 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2135 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2136 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2137 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2138 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2139 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2140 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2141 1735931297199
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2142 1735931297200
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2143 1735931297200
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2144 1735931297200
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2145 1735931297200
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2146 1735931297201
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2147 1735931297201
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2148 1735931297201
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2149 1735931297201
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2150 1735931297201
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2151 1735931297201
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2152 1735931297201
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2153 1735931297201
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2154 1735931297201
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2155 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2156 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2157 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2158 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2159 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2160 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2161 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2162 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2163 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2164 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2165 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2166 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2167 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2168 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2169 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2170 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2171 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2172 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2173 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2174 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2175 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2176 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2177 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2178 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2179 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2180 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2181 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2182 1735931297202
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2183 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2184 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2185 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2186 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2187 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2188 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2189 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2190 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2191 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2192 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2193 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2194 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2195 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2196 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2197 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2198 1735931297203
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2199 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2200 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2201 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2202 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2203 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2204 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2205 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2206 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2207 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2208 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2209 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2210 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2211 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2212 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2213 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2214 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2215 1735931297204
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2216 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2217 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2218 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2219 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2220 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2221 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2222 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2223 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2224 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2225 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2226 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2227 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2228 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2229 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2230 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2231 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2232 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2233 1735931297205
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2234 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2235 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2236 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2237 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2238 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2239 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2240 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2241 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2242 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2243 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2244 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2245 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2246 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2247 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2248 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2249 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2250 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2251 1735931297206
bft_bft_server3003.1.cymz3o788z1u@azureuser    | command: 2_2252 1735931297206
